Title,Date_Year,Host,Poster_Link,Video_Link,Read_More_Link
"Thesis Workshop – 3 Modules (Proposal, Report and Presentation), at IPSA, Saurashtra University, Rajkot, 20- and at Anant School of Architecture, Ahmedabad, 15 Sep",21 Sep,,,,
"Workshop on Reading, Writing and Speaking, at IPSA, Saurashtra University, Rajkot, and at Nirma University Ahmedabad",N/A,,,,
Architecture is not about Buildings,N/A,"at Nirma University Ahmedabad, 14 June",,,
"Social-Ecological System Framework- Understanding urban lake governance and sustainability in India, at Jawaharlal Nehru University, Delhi on 16 April and University of Delhi on 17 April",N/A,,,,
"Social-Ecological System Framework- Understanding urban lake governance and sustainability in India, at Tongji University, Shanghai, 16 March",N/A,,,,
It started here,N/A,"Faculty of Architecture Alumni Association Multi-Culti Presentation, at CEPT",,,
"The business of understanding Social-ecological Systems, at IHS Rotterdam on",12 Dec,,,,
"Urban Planning and Resilience, at EPCO, Bhopal",02 Aug,,,,
"Collective Action: The logics, problems and attributes, Governing Modern Societies, ErasmusnUniversity",05 Dec,,,,
"Natural Resource Management: Case of Urban Lakes, at EPCO, Bhopal",N/A,,,,
Doing a PhD? How to prepare for PhD? at IHS Rotterdam,N/A,,,,
"Urban Lake Governance in Theory and Practice: Cases from India, at EPCO, Bhopal",N/A,,,,
"Managing Public Open Spaces: Beyond design, at Ayojan School of Architecture, Jaipur",N/A,,,,
"Mansagar Lake Governance, at 15th Birding Fair at Mansagar Lake, Jaipur",N/A,,,,
"Ostrom and SES Framework, at School of Planning, CEPT",N/A,,,,
"Towards sustainability of urban lake systems in India: A governance perspective, A discussion on Methodological Issues in developing a pattern, at Research Group Seminar of Governance of Complex Systems, Erasmus University, Rotterdam, 07 March",N/A,,,,
"SES Framework and Ahmedabad Lake Governance, at School of Planning, CEPT",N/A,,,,
"Environmental Audit Lecture Series for Executives: Environmental Governance, SES Framework and Ecological Upgradation in Mining case’, at IHS Rotterdam",N/A,,,,
"Managing Public Open Spaces: Beyond Planning and Design, Friday Lecture Series, at IHS",N/A,,,,
"Environmental Governance of Urban Lake Systems, Opportunities and Challenges of using a framework, Faculty of Planning, CEPT University",N/A,,,,
"Managing Public Open Spaces in Theory and Practice, at Tongji University, Shanghai",N/A,,,,
"Clean and Green Ahmedabad, at Ahmedabad Municipal Corporation, Ahmedabad",N/A,,,,
"People in Public Spaces Management, at Arg Design, Cape Town, South Africa",N/A,,,,
"Urban Design Approach and Practice, at Dignity College of Architecture, Bhilai",N/A,,,,
"Managing Amenity Spaces- Looking Beyond Urban Design, at Dept",N/A,"of Urban Design, CEPT",,,
"Economics of Urban Spaces, at School of Planning, CEPT",N/A,,,,
"Research Methodology, at School of Planning, CEPT",N/A,,,,
"Valuing Public Amenities, at School of Planning, CEPT",N/A,,,,
"Amenity Space Distribution: A study of lakes in Ahmedabad, at Department of Architecture and at Fitzwilliam College, University of Cambridge",N/A,,,,
"Site Planning and Design, at L",N/A,"A - D - College of Architecture, Nagpur",,,
"Development strategies for water bodies: our Lakes and Ponds, at Physical Research Laboratory, Ahmedabad",N/A,,,,
